marque,modele_dossier,modele,type_carburant,est_hybride,puissance_fiscale,conso_urbaine,conso_extraurbaine,conso_mixte,co2_gkm,masse_min_kg,masse_max_kg,carrosserie,gamme,motorisation
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,210.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,209.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,5","6,900000095","7,5",197.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,210.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,209.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,209.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,5","6,900000095","7,5",197.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,210.0,1976,2800,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,209.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"9,399999619","7,199999809",8,209.0,1976,2783,MINIBUS,MOY-INFER,diesel
VOLKSWAGEN,CRAFTER,CRAFTER,GO,non,10,"8,899999619",7,"7,699999809",203.0,1976,2709,MINIBUS,MOY-INFER,diesel
